id	long_id	borogh_id	tract_name	income
012200	14000US36081012200	81	Census Tract 122, Queens, NY	48963
012200	14000US36061012200	61	Census Tract 122, New York, NY	162192
012300	14000US36005012300	05	Census Tract 123, Bronx, NY	20966
012301	14000US36081012301	81	Census Tract 123.01, Queens, NY	63611
012400	14000US36081012400	81	Census Tract 124, Queens, NY	46976
012400	14000US36061012400	61	Census Tract 124, New York, NY	112525
012500	14000US36005012500	05	Census Tract 125, Bronx, NY	26276
012500	14000US36081012500	81	Census Tract 125, Queens, NY	56736
012500	14000US36085012500	85	Census Tract 125, Richmond, NY	55000
012500	14000US36061012500	61	Census Tract 125, New York, NY	139615
012600	14000US36061012600	61	Census Tract 126, New York, NY	95402
012600	14000US36047012600	47	Census Tract 126, Kings, NY	31750
012601	14000US36081012601	81	Census Tract 126.01, Queens, NY	58559
012602	14000US36081012602	81	Census Tract 126.02, Queens, NY	59231
012700	14000US36061012700	61	Census Tract 127, New York, NY	64962
012700	14000US36047012700	47	Census Tract 127, Kings, NY	31875
012701	14000US36005012701	05	Census Tract 127.01, Bronx, NY	21589
012800	14000US36061012800	61	Census Tract 128, New York, NY	170250
012800	14000US36081012800	81	Census Tract 128, Queens, NY	61875
012801	14000US36047012801	47	Census Tract 128.01, Kings, NY	49688
012804	14000US36085012804	85	Census Tract 128.04, Richmond, NY	63563
012805	14000US36085012805	85	Census Tract 128.05, Richmond, NY	69264
012806	14000US36085012806	85	Census Tract 128.06, Richmond, NY	60731
012900	14000US36061012900	61	Census Tract 129, New York, NY	87222
012901	14000US36005012901	05	Census Tract 129.01, Bronx, NY	14301
012901	14000US36047012901	47	Census Tract 129.01, Kings, NY	79940
012902	14000US36047012902	47	Census Tract 129.02, Kings, NY	85313
013000	14000US36061013000	61	Census Tract 130, New York, NY	250001
013000	14000US36047013000	47	Census Tract 130, Kings, NY	51075
013000	14000US36005013000	05	Census Tract 130, Bronx, NY	68512
013000	14000US36081013000	81	Census Tract 130, Queens, NY	62321
013100	14000US36047013100	47	Census Tract 131, Kings, NY	102039
013100	14000US36005013100	05	Census Tract 131, Bronx, NY	28594
013100	14000US36061013100	61	Census Tract 131, New York, NY	97303
013200	14000US36005013200	05	Census Tract 132, Bronx, NY	91968
013200	14000US36061013200	61	Census Tract 132, New York, NY	73546
013200	14000US36081013200	81	Census Tract 132, Queens, NY	75469
013200	14000US36047013200	47	Census Tract 132, Kings, NY	52578
013201	14000US36085013201	85	Census Tract 132.01, Richmond, NY	95536
013203	14000US36085013203	85	Census Tract 132.03, Richmond, NY	72378
013204	14000US36085013204	85	Census Tract 132.04, Richmond, NY	86964
013300	14000US36061013300	61	Census Tract 133, New York, NY	77619
013300	14000US36005013300	05	Census Tract 133, Bronx, NY	22012
013300	14000US36047013300	47	Census Tract 133, Kings, NY	119966
013301	14000US36085013301	85	Census Tract 133.01, Richmond, NY	14710
013302	14000US36085013302	85	Census Tract 133.02, Richmond, NY	51923
013400	14000US36047013400	47	Census Tract 134, Kings, NY	65119
013400	14000US36085013400	85	Census Tract 134, Richmond, NY	74922
013400	14000US36081013400	81	Census Tract 134, Queens, NY	59596
013400	14000US36061013400	61	Census Tract 134, New York, NY	99897
013500	14000US36081013500	81	Census Tract 135, Queens, NY	57121
013500	14000US36047013500	47	Census Tract 135, Kings, NY	108421
013500	14000US36005013500	05	Census Tract 135, Bronx, NY	20171
013500	14000US36061013500	61	Census Tract 135, New York, NY	56026
013600	14000US36061013600	61	Census Tract 136, New York, NY	95052
013600	14000US36081013600	81	Census Tract 136, Queens, NY	52885
013600	14000US36047013600	47	Census Tract 136, Kings, NY	65456
013700	14000US36061013700	61	Census Tract 137, New York, NY	112685
013700	14000US36047013700	47	Census Tract 137, Kings, NY	92781
013700	14000US36081013700	81	Census Tract 137, Queens, NY	54194
013800	14000US36005013800	05	Census Tract 138, Bronx, NY	70774
013800	14000US36081013800	81	Census Tract 138, Queens, NY	53547
013800	14000US36061013800	61	Census Tract 138, New York, NY	95208
013800	14000US36085013800	85	Census Tract 138, Richmond, NY	83750
013800	14000US36047013800	47	Census Tract 138, Kings, NY	65625
013900	14000US36047013900	47	Census Tract 139, Kings, NY	85172
013900	14000US36061013900	61	Census Tract 139, New York, NY	80896
014000	14000US36061014000	61	Census Tract 140, New York, NY	126507
014000	14000US36047014000	47	Census Tract 140, Kings, NY	55458
